x i1 i2 i3 i4 i5 i6
3.27 0.000000 0.001430 0.003104 0.004821 0.006538 0.008236
3.28 0.000000 0.001430 0.003105 0.004822 0.006538 0.008237
3.29 0.000000 0.001431 0.003105 0.004822 0.006539 0.008238
3.30 0.000000 0.001431 0.003106 0.004823 0.006540 0.008239
3.31 0.000000 0.001431 0.003106 0.004824 0.006541 0.008240
3.32 0.000000 0.001431 0.003106 0.004824 0.006542 0.008241
3.33 0.000000 0.001431 0.003107 0.004825 0.006543 0.008242
3.34 0.000000 0.001432 0.003107 0.004826 0.006544 0.008243
3.35 0.000000 0.001432 0.003108 0.004826 0.006544 0.008245
3.36 0.000000 0.001432 0.003108 0.004827 0.006545 0.008246
3.37 0.000000 0.001432 0.003108 0.004828 0.006546 0.008247
3.38 0.000000 0.001432 0.003109 0.004828 0.006547 0.008248
3.39 0.000000 0.001432 0.003109 0.004829 0.006548 0.008249
3.40 0.000000 0.001433 0.003110 0.004829 0.006549 0.008250
3.41 0.000000 0.001433 0.003110 0.004830 0.006549 0.008251
3.42 0.000000 0.001433 0.003110 0.004831 0.006550 0.008252
3.43 0.000000 0.001433 0.003111 0.004831 0.006551 0.008253
3.44 0.000000 0.001433 0.003111 0.004832 0.006552 0.008254
3.45 0.000000 0.001434 0.003112 0.004833 0.006553 0.008255
3.46 0.000000 0.001434 0.003112 0.004833 0.006554 0.008256
3.47 0.000000 0.001434 0.003113 0.004834 0.006555 0.008257
3.48 0.000000 0.001434 0.003113 0.004834 0.006555 0.008259
3.49 0.000000 0.001434 0.003113 0.004835 0.006556 0.008260
3.50 0.000000 0.001435 0.003114 0.004836 0.006557 0.008261
3.51 0.000000 0.001435 0.003114 0.004836 0.006558 0.008262
3.52 0.000000 0.001435 0.003115 0.004837 0.006559 0.008263
3.53 0.000000 0.001435 0.003115 0.004838 0.006560 0.008264
3.54 0.000000 0.001435 0.003115 0.004838 0.006561 0.008265
3.55 0.000000 0.001435 0.003116 0.004839 0.006561 0.008266
3.56 0.000000 0.001436 0.003116 0.004839 0.006562 0.008267
3.57 0.000000 0.001436 0.003117 0.004840 0.006563 0.008268
3.58 0.000000 0.001436 0.003117 0.004841 0.006564 0.008269
3.59 0.000000 0.001436 0.003117 0.004841 0.006565 0.008270
3.60 0.000000 0.001436 0.003118 0.004842 0.006566 0.008271
3.61 0.000000 0.001437 0.003118 0.004843 0.006567 0.008272
3.62 0.000000 0.001437 0.003119 0.004843 0.006567 0.008274
3.63 0.000000 0.001437 0.003119 0.004844 0.006568 0.008275
3.64 0.000000 0.001437 0.003119 0.004845 0.006569 0.008276
3.65 0.000000 0.001437 0.003120 0.004845 0.006570 0.008277
3.66 0.000000 0.001438 0.003120 0.004846 0.006571 0.008278
3.67 0.000000 0.001438 0.003121 0.004846 0.006572 0.008279
3.68 0.000000 0.001438 0.003121 0.004847 0.006573 0.008280
3.69 0.000000 0.001438 0.003121 0.004848 0.006573 0.008281
3.70 0.000000 0.001438 0.003122 0.004848 0.006574 0.008282
3.71 0.000000 0.001438 0.003122 0.004849 0.006575 0.008283
3.72 0.000000 0.001439 0.003123 0.004850 0.006576 0.008284
3.73 0.000000 0.001439 0.003123 0.004850 0.006577 0.008285
3.74 0.000000 0.001439 0.003123 0.004851 0.006578 0.008286
3.75 0.000000 0.001439 0.003124 0.004851 0.006579 0.008288
3.76 0.000000 0.001439 0.003124 0.004852 0.006579 0.008289
3.77 0.000000 0.001440 0.003125 0.004853 0.006580 0.008290
3.78 0.000000 0.001440 0.003125 0.004853 0.006581 0.008291
3.79 0.000000 0.001440 0.003125 0.004854 0.006582 0.008292
3.80 0.000000 0.001440 0.003126 0.004855 0.006583 0.008293
3.81 0.000000 0.001440 0.003126 0.004855 0.006584 0.008294
3.82 0.000000 0.001441 0.003127 0.004856 0.006584 0.008295
3.83 0.000000 0.001441 0.003127 0.004856 0.006585 0.008296
3.84 0.000000 0.001441 0.003127 0.004857 0.006586 0.008297
3.85 0.000000 0.001441 0.003128 0.004858 0.006587 0.008298
3.86 0.000000 0.001441 0.003128 0.004858 0.006588 0.008299
3.87 0.000000 0.001441 0.003129 0.004859 0.006589 0.008300
3.88 0.000000 0.001442 0.003129 0.004860 0.006590 0.008302
3.89 0.000000 0.001442 0.003130 0.004860 0.006590 0.008303
3.90 0.000000 0.001442 0.003130 0.004861 0.006591 0.008304
3.91 0.000000 0.001442 0.003130 0.004862 0.006592 0.008305
3.92 0.000000 0.001442 0.003131 0.004862 0.006593 0.008306
3.93 0.000000 0.001443 0.003131 0.004863 0.006594 0.008307
3.94 0.000000 0.001443 0.003132 0.004863 0.006595 0.008308
3.95 0.000000 0.001443 0.003132 0.004864 0.006596 0.008309
3.96 0.000000 0.001443 0.003132 0.004865 0.006596 0.008310
3.97 0.000000 0.001443 0.003133 0.004865 0.006597 0.008311
3.98 0.000000 0.001443 0.003133 0.004866 0.006598 0.008312
3.99 0.000000 0.001444 0.003134 0.004867 0.006599 0.008313
4.00 0.000000 0.001444 0.003134 0.004867 0.006600 0.008314
4.01 0.000000 0.001444 0.003134 0.004868 0.006601 0.008316
4.02 0.000000 0.001444 0.003135 0.004868 0.006602 0.008317
4.03 0.000000 0.001444 0.003135 0.004869 0.006602 0.008318
4.04 0.000000 0.001445 0.003136 0.004870 0.006603 0.008319
4.05 0.000000 0.001445 0.003136 0.004870 0.006604 0.008320
4.06 0.000000 0.001445 0.003136 0.004871 0.006605 0.008321
4.07 0.000000 0.001445 0.003137 0.004872 0.006606 0.008322
4.08 0.000000 0.001445 0.003137 0.004872 0.006607 0.008323
