x i1 i2 i3 i4 i5 i6 i7 i8
1.400000 0.000000 0.000095 0.000216 0.000348 0.000487 0.000631 0.000778 0.000929
1.410000 0.000000 0.000095 0.000216 0.000348 0.000487 0.000631 0.000778 0.000929
1.420000 0.000000 0.000095 0.000217 0.000348 0.000487 0.000631 0.000778 0.000929
1.430000 0.000000 0.000095 0.000217 0.000348 0.000487 0.000631 0.000778 0.000929
1.440000 0.000000 0.000095 0.000217 0.000348 0.000487 0.000631 0.000779 0.000929
1.450000 0.000000 0.000095 0.000217 0.000348 0.000487 0.000631 0.000779 0.000930
1.460000 0.000000 0.000096 0.000217 0.000348 0.000487 0.000631 0.000779 0.000930
1.470000 0.000000 0.000096 0.000217 0.000349 0.000487 0.000631 0.000779 0.000930
1.480000 0.000000 0.000096 0.000217 0.000349 0.000487 0.000631 0.000779 0.000930
1.490000 0.000000 0.000096 0.000217 0.000349 0.000487 0.000631 0.000779 0.000930
1.500000 0.000000 0.000096 0.000217 0.000349 0.000487 0.000631 0.000779 0.000930
1.510000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000631 0.000779 0.000930
1.520000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000779 0.000930
1.530000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.540000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.550000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.560000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.570000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.580000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.590000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.600000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000931
1.610000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000932
1.620000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000780 0.000932
1.630000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000632 0.000781 0.000932
1.640000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000633 0.000781 0.000932
1.650000 0.000000 0.000096 0.000217 0.000349 0.000488 0.000633 0.000781 0.000932
1.660000 0.000000 0.000096 0.000217 0.000349 0.000489 0.000633 0.000781 0.000932
1.670000 0.000000 0.000096 0.000217 0.000349 0.000489 0.000633 0.000781 0.000932
1.680000 0.000000 0.000096 0.000217 0.000349 0.000489 0.000633 0.000781 0.000932
1.690000 0.000000 0.000096 0.000217 0.000350 0.000489 0.000633 0.000781 0.000933
1.700000 0.000000 0.000096 0.000217 0.000350 0.000489 0.000633 0.000781 0.000933
1.710000 0.000000 0.000096 0.000217 0.000350 0.000489 0.000633 0.000781 0.000933
1.720000 0.000000 0.000096 0.000217 0.000350 0.000489 0.000633 0.000782 0.000933
1.730000 0.000000 0.000096 0.000217 0.000350 0.000489 0.000633 0.000782 0.000933
1.740000 0.000000 0.000096 0.000217 0.000350 0.000489 0.000633 0.000782 0.000933
1.750000 0.000000 0.000096 0.000217 0.000350 0.000489 0.000633 0.000782 0.000933
1.760000 0.000000 0.000096 0.000218 0.000350 0.000489 0.000634 0.000782 0.000933
1.770000 0.000000 0.000096 0.000218 0.000350 0.000489 0.000634 0.000782 0.000934
1.780000 0.000000 0.000096 0.000218 0.000350 0.000489 0.000634 0.000782 0.000934
1.790000 0.000000 0.000096 0.000218 0.000350 0.000489 0.000634 0.000782 0.000934
1.800000 0.000000 0.000096 0.000218 0.000350 0.000489 0.000634 0.000782 0.000934
1.810000 0.000000 0.000096 0.000218 0.000350 0.000489 0.000634 0.000782 0.000934
1.820000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000634 0.000783 0.000934
1.830000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000634 0.000783 0.000934
1.840000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000634 0.000783 0.000934
1.850000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000634 0.000783 0.000935
1.860000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000634 0.000783 0.000935
1.870000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000635 0.000783 0.000935
1.880000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000635 0.000783 0.000935
1.890000 0.000000 0.000096 0.000218 0.000350 0.000490 0.000635 0.000783 0.000935
1.900000 0.000000 0.000096 0.000218 0.000351 0.000490 0.000635 0.000783 0.000935
1.910000 0.000000 0.000096 0.000218 0.000351 0.000490 0.000635 0.000783 0.000935
1.920000 0.000000 0.000096 0.000218 0.000351 0.000490 0.000635 0.000784 0.000935
1.930000 0.000000 0.000096 0.000218 0.000351 0.000490 0.000635 0.000784 0.000936
1.940000 0.000000 0.000096 0.000218 0.000351 0.000490 0.000635 0.000784 0.000936
1.950000 0.000000 0.000096 0.000218 0.000351 0.000490 0.000635 0.000784 0.000936
