time	V(out)	V(n001)
2.954581656121968e-03	-3.152933e+00	-5.992136e+00
2.954597944832854e-03	5.162737e-01	-5.991893e+00
2.954613156158988e-03	3.978748e+00	-5.991536e+00
2.954631279937986e-03	8.171705e+00	-5.990945e+00
2.954650645489601e-03	1.265874e+01	-5.990176e+00
2.954651250663089e-03	1.278107e+01	-5.990149e+00
2.954652461010065e-03	1.293853e+01	-5.990091e+00
2.954654881704016e-03	1.306636e+01	-5.989975e+00
2.954657105673472e-03	1.307595e+01	-5.989869e+00
2.954659878473896e-03	1.305750e+01	-5.989738e+00
2.954662666278468e-03	1.305285e+01	-5.989608e+00
2.954668241887613e-03	1.305207e+01	-5.989348e+00
2.954677608328774e-03	1.305208e+01	-5.988915e+00
2.954696341211097e-03	1.305237e+01	-5.988054e+00
2.954717667531216e-03	1.305245e+01	-5.987076e+00
2.954748355839874e-03	1.305247e+01	-5.985670e+00
2.972928088626640e-03	1.305274e+01	-5.176946e+00
2.991107821413405e-03	1.305300e+01	-4.402083e+00
3.009287554200171e-03	1.305325e+01	-3.661080e+00
3.027467286986937e-03	1.305349e+01	-2.953938e+00
3.045647019773702e-03	1.305372e+01	-2.280657e+00
3.063826752560468e-03	1.305394e+01	-1.641236e+00
3.082006485347234e-03	1.305414e+01	-1.035676e+00
3.091772110347234e-03	1.305425e+01	-7.202026e-01
3.101537735347233e-03	1.305435e+01	-4.127717e-01
3.106420547847233e-03	1.305441e+01	-2.620081e-01
3.111303360347233e-03	1.305446e+01	-1.131786e-01
3.116186172847233e-03	1.305451e+01	3.374139e-02
3.121068985347233e-03	1.305455e+01	1.787765e-01
3.125951797847233e-03	1.305460e+01	3.219509e-01
3.135717422847233e-03	1.305470e+01	6.028128e-01
3.150365860347232e-03	1.305483e+01	1.010737e+00
3.165014297847232e-03	1.305497e+01	1.403162e+00
3.185940637132946e-03	1.305554e+01	1.934502e+00
3.206866976418660e-03	1.305578e+01	2.440665e+00
3.227793315704373e-03	1.305567e+01	2.921652e+00
