Freq.	V(vo)	V(vo1)
1.30617088813183e+01	(-1.81944639733098e+02dB,-9.01419376625776e+01°)	(-1.81911844869816e+02dB,-9.03644523212076e+01°)
1.30918192299940e+01	(-1.81884639695784e+02dB,-9.01420434403750e+01°)	(-1.81851845266520e+02dB,-9.03640415008834e+01°)
1.31219989901920e+01	(-1.81824639658168e+02dB,-9.01421499712751e+01°)	(-1.81791845660924e+02dB,-9.03636326104929e+01°)
1.31522483219223e+01	(-1.81764639620251e+02dB,-9.01422572558427e+01°)	(-1.81731846053036e+02dB,-9.03632256480479e+01°)
1.31825673855640e+01	(-1.81704639582029e+02dB,-9.01423652946467e+01°)	(-1.81671846442864e+02dB,-9.03628206112500e+01°)
1.32129563418657e+01	(-1.81644639543504e+02dB,-9.01424740882600e+01°)	(-1.81611846830418e+02dB,-9.03624174980428e+01°)
1.32434153519466e+01	(-1.81584639504674e+02dB,-9.01425836372593e+01°)	(-1.81551847215705e+02dB,-9.03620163062295e+01°)
1.32739445772973e+01	(-1.81524639465538e+02dB,-9.01426939422256e+01°)	(-1.81491847598734e+02dB,-9.03616170336720e+01°)
1.33045441797808e+01	(-1.81464639426096e+02dB,-9.01428050037436e+01°)	(-1.81431847979511e+02dB,-9.03612196783072e+01°)
1.33352143216332e+01	(-1.81404639386346e+02dB,-9.01429168224022e+01°)	(-1.81371848358047e+02dB,-9.03608242381938e+01°)
1.33659551654643e+01	(-1.81344639346288e+02dB,-9.01430293987944e+01°)	(-1.81311848734348e+02dB,-9.03604307108127e+01°)
1.33967668742593e+01	(-1.81284639305921e+02dB,-9.01431427335169e+01°)	(-1.81251849108422e+02dB,-9.03600390945256e+01°)
1.34276496113785e+01	(-1.81224639265244e+02dB,-9.01432568271708e+01°)	(-1.81191849480278e+02dB,-9.03596493868271e+01°)
1.34586035405594e+01	(-1.81164639224256e+02dB,-9.01433716803609e+01°)	(-1.81131849849924e+02dB,-9.03592615860718e+01°)
1.34896288259164e+01	(-1.81104639182957e+02dB,-9.01434872936962e+01°)	(-1.81071850217366e+02dB,-9.03588756898788e+01°)
1.35207256319427e+01	(-1.81044639141345e+02dB,-9.01436036677897e+01°)	(-1.81011850582614e+02dB,-9.03584916964377e+01°)
1.35518941235103e+01	(-1.80984639099420e+02dB,-9.01437208032585e+01°)	(-1.80951850945675e+02dB,-9.03581096035001e+01°)
1.35831344658714e+01	(-1.80924639057180e+02dB,-9.01438387007236e+01°)	(-1.80891851306555e+02dB,-9.03577294092269e+01°)
1.36144468246594e+01	(-1.80864639014625e+02dB,-9.01439573608101e+01°)	(-1.80831851665264e+02dB,-9.03573511115255e+01°)
1.36458313658891e+01	(-1.80804638971754e+02dB,-9.01440767841472e+01°)	(-1.80771852021809e+02dB,-9.03569747083039e+01°)
1.36772882559584e+01	(-1.80744638928566e+02dB,-9.01441969713680e+01°)	(-1.80711852376197e+02dB,-9.03566001978297e+01°)
1.37088176616484e+01	(-1.80684638885061e+02dB,-9.01443179231098e+01°)	(-1.80651852728436e+02dB,-9.03562275779377e+01°)
1.37404197501251e+01	(-1.80624638841236e+02dB,-9.01444396400140e+01°)	(-1.80591853078533e+02dB,-9.03558568464808e+01°)
1.37720946889394e+01	(-1.80564638797091e+02dB,-9.01445621227258e+01°)	(-1.80531853426496e+02dB,-9.03554880017396e+01°)
1.38038426460287e+01	(-1.80504638752626e+02dB,-9.01446853718947e+01°)	(-1.80471853772332e+02dB,-9.03551210416969e+01°)
1.38356637897177e+01	(-1.80444638707839e+02dB,-9.01448093881742e+01°)	(-1.80411854116048e+02dB,-9.03547559644054e+01°)
1.38675582887188e+01	(-1.80384638662730e+02dB,-9.01449341722217e+01°)	(-1.80351854457652e+02dB,-9.03543927678507e+01°)
1.38995263121334e+01	(-1.80324638617297e+02dB,-9.01450597246991e+01°)	(-1.80291854797151e+02dB,-9.03540314503722e+01°)
1.39315680294529e+01	(-1.80264638571539e+02dB,-9.01451860462718e+01°)	(-1.80231855134552e+02dB,-9.03536720096901e+01°)
1.39636836105593e+01	(-1.80204638525456e+02dB,-9.01453131376098e+01°)	(-1.80171855469862e+02dB,-9.03533144442120e+01°)
1.39958732257261e+01	(-1.80144638479046e+02dB,-9.01454409993868e+01°)	(-1.80111855803089e+02dB,-9.03529587517790e+01°)
1.40281370456195e+01	(-1.80084638432309e+02dB,-9.01455696322808e+01°)	(-1.80051856134239e+02dB,-9.03526049307288e+01°)
1.40604752412990e+01	(-1.80024638385244e+02dB,-9.01456990369739e+01°)	(-1.79991856463320e+02dB,-9.03522529789202e+01°)
1.40928879842186e+01	(-1.79964638337849e+02dB,-9.01458292141521e+01°)	(-1.79931856790338e+02dB,-9.03519028948275e+01°)
1.41253754462274e+01	(-1.79904638290124e+02dB,-9.01459601645056e+01°)	(-1.79871857115301e+02dB,-9.03515546763440e+01°)
1.41579377995707e+01	(-1.79844638242067e+02dB,-9.01460918887288e+01°)	(-1.79811857438215e+02dB,-9.03512083217606e+01°)
1.41905752168908e+01	(-1.79784638193677e+02dB,-9.01462243875201e+01°)	(-1.79751857759087e+02dB,-9.03508638290957e+01°)
1.42232878712281e+01	(-1.79724638144954e+02dB,-9.01463576615820e+01°)	(-1.79691858077924e+02dB,-9.03505211966780e+01°)
1.42560759360218e+01	(-1.79664638095897e+02dB,-9.01464917116212e+01°)	(-1.79631858394732e+02dB,-9.03501804226386e+01°)
1.42889395851109e+01	(-1.79604638046504e+02dB,-9.01466265383484e+01°)	(-1.79571858709519e+02dB,-9.03498415051589e+01°)
1.43218789927353e+01	(-1.79544637996774e+02dB,-9.01467621424784e+01°)	(-1.79511859022292e+02dB,-9.03495044423948e+01°)
1.43548943335364e+01	(-1.79484637946707e+02dB,-9.01468985247303e+01°)	(-1.79451859333056e+02dB,-9.03491692326708e+01°)
1.43879857825583e+01	(-1.79424637896301e+02dB,-9.01470356858271e+01°)	(-1.79391859641818e+02dB,-9.03488358741101e+01°)
1.44211535152486e+01	(-1.79364637845555e+02dB,-9.01471736264962e+01°)	(-1.79331859948585e+02dB,-9.03485043649661e+01°)
1.44543977074592e+01	(-1.79304637794468e+02dB,-9.01473123474689e+01°)	(-1.79271860253364e+02dB,-9.03481747034691e+01°)
1.44877185354475e+01	(-1.79244637743040e+02dB,-9.01474518494806e+01°)	(-1.79211860556160e+02dB,-9.03478468880161e+01°)
1.45211161758773e+01	(-1.79184637691268e+02dB,-9.01475921332712e+01°)	(-1.79151860856981e+02dB,-9.03475209166388e+01°)
1.45545908058195e+01	(-1.79124637639152e+02dB,-9.01477331995843e+01°)	(-1.79091861155832e+02dB,-9.03471967877362e+01°)
1.45881426027534e+01	(-1.79064637586691e+02dB,-9.01478750491679e+01°)	(-1.79031861452720e+02dB,-9.03468744996638e+01°)
1.46217717445671e+01	(-1.79004637533883e+02dB,-9.01480176827741e+01°)	(-1.78971861747652e+02dB,-9.03465540506332e+01°)
1.46554784095590e+01	(-1.78944637480728e+02dB,-9.01481611011593e+01°)	(-1.78911862040633e+02dB,-9.03462354388557e+01°)
1.46892627764385e+01	(-1.78884637427224e+02dB,-9.01483053050837e+01°)	(-1.78851862331670e+02dB,-9.03459186626920e+01°)
1.47231250243271e+01	(-1.78824637373370e+02dB,-9.01484502953120e+01°)	(-1.78791862620769e+02dB,-9.03456037206530e+01°)
1.47570653327588e+01	(-1.78764637319166e+02dB,-9.01485960726129e+01°)	(-1.78731862907935e+02dB,-9.03452906106911e+01°)
1.47910838816819e+01	(-1.78704637264609e+02dB,-9.01487426377594e+01°)	(-1.78671863193176e+02dB,-9.03449793315960e+01°)
1.48251808514594e+01	(-1.78644637209700e+02dB,-9.01488899915286e+01°)	(-1.78611863476497e+02dB,-9.03446698813166e+01°)
1.48593564228699e+01	(-1.78584637154435e+02dB,-9.01490381347018e+01°)	(-1.78551863757905e+02dB,-9.03443622585331e+01°)
1.48936107771090e+01	(-1.78524637098816e+02dB,-9.01491870680644e+01°)	(-1.78491864037404e+02dB,-9.03440564613954e+01°)
1.49279440957898e+01	(-1.78464637042839e+02dB,-9.01493367924061e+01°)	(-1.78431864315002e+02dB,-9.03437524883214e+01°)
1.49623565609442e+01	(-1.78404636986505e+02dB,-9.01494873085208e+01°)	(-1.78371864590703e+02dB,-9.03434503377632e+01°)
1.49968483550236e+01	(-1.78344636929812e+02dB,-9.01496386172064e+01°)	(-1.78311864864515e+02dB,-9.03431500080324e+01°)
1.50314196609001e+01	(-1.78284636872758e+02dB,-9.01497907192654e+01°)	(-1.78251865136442e+02dB,-9.03428514978245e+01°)
1.50660706618673e+01	(-1.78224636815343e+02dB,-9.01499436155041e+01°)	(-1.78191865406490e+02dB,-9.03425548051183e+01°)
1.51008015416413e+01	(-1.78164636757564e+02dB,-9.01500973067332e+01°)	(-1.78131865674666e+02dB,-9.03422599285816e+01°)
1.51356124843619e+01	(-1.78104636699422e+02dB,-9.01502517937676e+01°)	(-1.78071865940974e+02dB,-9.03419668665867e+01°)
1.51705036745932e+01	(-1.78044636640915e+02dB,-9.01504070774263e+01°)	(-1.78011866205421e+02dB,-9.03416756177807e+01°)
1.52054752973248e+01	(-1.77984636582042e+02dB,-9.01505631585329e+01°)	(-1.77951866468012e+02dB,-9.03413861803157e+01°)
1.52405275379728e+01	(-1.77924636522800e+02dB,-9.01507200379147e+01°)	(-1.77891866728752e+02dB,-9.03410985526981e+01°)
1.52756605823806e+01	(-1.77864636463190e+02dB,-9.01508777164036e+01°)	(-1.77831866987648e+02dB,-9.03408127337381e+01°)
1.53108746168202e+01	(-1.77804636403209e+02dB,-9.01510361948357e+01°)	(-1.77771867244704e+02dB,-9.03405287215867e+01°)
1.53461698279928e+01	(-1.77744636342857e+02dB,-9.01511954740511e+01°)	(-1.77711867499927e+02dB,-9.03402465148986e+01°)
1.53815464030302e+01	(-1.77684636282133e+02dB,-9.01513555548945e+01°)	(-1.77651867753320e+02dB,-9.03399661119056e+01°)
1.54170045294954e+01	(-1.77624636221034e+02dB,-9.01515164382145e+01°)	(-1.77591868004891e+02dB,-9.03396875116316e+01°)
1.54525443953840e+01	(-1.77564636159560e+02dB,-9.01516781248643e+01°)	(-1.77531868254644e+02dB,-9.03394107121299e+01°)
1.54881661891247e+01	(-1.77504636097709e+02dB,-9.01518406157010e+01°)	(-1.77471868502585e+02dB,-9.03391357119702e+01°)
1.55238700995807e+01	(-1.77444636035480e+02dB,-9.01520039115863e+01°)	(-1.77411868748718e+02dB,-9.03388625099612e+01°)
1.55596563160506e+01	(-1.77384635972872e+02dB,-9.01521680133859e+01°)	(-1.77351868993050e+02dB,-9.03385911045416e+01°)
1.55955250282694e+01	(-1.77324635909883e+02dB,-9.01523329219700e+01°)	(-1.77291869235584e+02dB,-9.03383214942588e+01°)
1.56314764264094e+01	(-1.77264635846513e+02dB,-9.01524986382129e+01°)	(-1.77231869476327e+02dB,-9.03380536776249e+01°)
1.56675107010813e+01	(-1.77204635782759e+02dB,-9.01526651629932e+01°)	(-1.77171869715283e+02dB,-9.03377876533186e+01°)
1.57036280433354e+01	(-1.77144635718620e+02dB,-9.01528324971939e+01°)	(-1.77111869952458e+02dB,-9.03375234199711e+01°)
1.57398286446620e+01	(-1.77084635654096e+02dB,-9.01530006417022e+01°)	(-1.77051870187856e+02dB,-9.03372609759520e+01°)
1.57761126969933e+01	(-1.77024635589184e+02dB,-9.01531695974097e+01°)	(-1.76991870421483e+02dB,-9.03370003199832e+01°)
1.58124803927037e+01	(-1.76964635523883e+02dB,-9.01533393652121e+01°)	(-1.76931870653343e+02dB,-9.03367414508189e+01°)
1.58489319246110e+01	(-1.76904635458192e+02dB,-9.01535099460096e+01°)	(-1.76871870883442e+02dB,-9.03364843669338e+01°)
